,author.properties.name,author.type,claimReviewed,dateModified,datePublished,description,headline,image.properties.height,image.properties.url,image.properties.width,image.type,itemReviewed.properties.author.properties.name,itemReviewed.properties.author.properties.sameAs,itemReviewed.properties.author.type,itemReviewed.properties.datePublished,itemReviewed.type,reviewRating.properties.alternateName,reviewRating.properties.bestRating,reviewRating.properties.ratingValue,reviewRating.properties.worstRating,reviewRating.type,url
0,Snopes,http://schema.org/Organization,"After a gunman killed schoolchildren and a teacher in Scotland in 1996, the UK banned handguns; no school shootings have taken place there since.",2018-02-16T12:49:49+00:00,2018-02-16T12:46:29+00:00,,No School Shootings in the United Kingdom Since Handguns Were Banned?,452,"https://us-east-1.tchyn.io/snopes-production/uploads/2017/04/shutterstock_126668459.jpg?resize=865,452",865,http://schema.org/ImageObject,Internet,,http://schema.org/Organization,2018-02-16T12:46:29+00:00,http://schema.org/CreativeWork,TRUE,-1,-1,-1,http://schema.org/Rating,https://www.snopes.com/dunblane-school-shootings-ban/
1,Snopes,http://schema.org/Organization,The gunman suspected of killing at least seventeen people at a school in Florida in February 2018 was a registered Democrat.,2018-02-16T09:49:10+00:00,2018-02-16T09:49:02+00:00,,Was the Florida School Shooter a Registered Democrat?,452,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/democrat_republican_feature.jpg?resize=865,452",865,http://schema.org/ImageObject,Internet,,http://schema.org/Organization,2018-02-16T09:49:02+00:00,http://schema.org/CreativeWork,FALSE,-1,-1,-1,http://schema.org/Rating,https://www.snopes.com/was-florida-school-shooter-democrat/
2,Snopes,http://schema.org/Organization,"An Instagram account linked to suspected shooter Nikolas Cruz featured an avatar that included a ""MAGA"" hat.",2018-02-15T14:52:36+00:00,2018-02-15T14:39:11+00:00,,Did the Florida Shooter’s Instagram Profile Picture Feature a ‘MAGA’ Hat?,452,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/MAGA_make_america_great_again_hats_feature.jpg?resize=865,452",865,http://schema.org/ImageObject,Internet,,http://schema.org/Organization,2018-02-15T14:39:11+00:00,http://schema.org/CreativeWork,TRUE,-1,-1,-1,http://schema.org/Rating,https://www.snopes.com/did-shooters-instagram-picture-maga-hat/
3,Snopes,http://schema.org/Organization,President Trump signed a bill blocking Obama-era background checks on guns for people with mental illnesses.,2018-02-15T12:46:05+00:00,2018-02-15T12:09:44+00:00,,Did President Trump Revoke Gun Background Checks for Mentally Ill People?,452,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/donald_trump_revoke_laws_feature.jpg?resize=865,452",865,http://schema.org/ImageObject,Internet,,http://schema.org/Organization,2018-02-15T12:09:44+00:00,http://schema.org/CreativeWork,MOSTLY TRUE,-1,-1,-1,http://schema.org/Rating,https://www.snopes.com/trump-sign-bill-revoking-obama-era-gun-checks-people-mental-illnesses/
4,Snopes,http://schema.org/Organization,A photograph shows Florida school shooter Nikolas Cruz wearing an antifa t-shirt.,2018-02-15T11:38:31+00:00,2018-02-15T13:01:47+00:00,,Is This the Florida Shooter in an Antifa Shirt?,452,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/is_this_nicholas_cruz_antifa_shirt_tweet.jpg?resize=865,452",865,http://schema.org/ImageObject,Internet,,http://schema.org/Organization,2018-02-15T13:01:47+00:00,http://schema.org/CreativeWork,FALSE,-1,-1,-1,http://schema.org/Rating,https://www.snopes.com/florida-shooter-antifa-shirt/
5,Snopes,http://schema.org/Organization,"The accused school shooter in Florida is a Dreamer, a DACA recipient, or undocumented.",2018-02-14T18:52:17+00:00,2018-02-14T18:51:24+00:00,,Is the Florida High School Shooter a ‘Dreamer’?,452,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/stoneman_shooting_DACA_dreamer_tweet.jpg?resize=865,452",865,http://schema.org/ImageObject,Internet,,http://schema.org/Organization,2018-02-14T18:51:24+00:00,http://schema.org/CreativeWork,FALSE,-1,-1,-1,http://schema.org/Rating,https://www.snopes.com/florida-high-school-shooter-dreamer/
6,Snopes,http://schema.org/Organization,A video shows Muslim migrants destroying a car in Italy.,2018-02-13T16:14:19+00:00,2018-02-13T16:13:53+00:00,,Did Migrants Destroy a Car in Italy?,452,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/film_crew_anti_muslim_video_capture.jpg?resize=865,452",865,http://schema.org/ImageObject,Internet,,http://schema.org/Organization,2018-02-13T16:13:53+00:00,http://schema.org/CreativeWork,FALSE,-1,-1,-1,http://schema.org/Rating,https://www.snopes.com/did-migrants-destroy-a-car-in-italy/
7,Snopes,http://schema.org/Organization,"The official portrait of former President Barack Obama contains secretly-placed images of sperm cells, including one on his forehead.",2018-02-13T15:44:46+00:00,2018-02-13T15:44:16+00:00,,Does Barack Obama’s Official Portrait Contain Secret Images of Sperm?,452,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/sperm_head_obama_portrait_tweet.jpg?resize=865,452",865,http://schema.org/ImageObject,Internet,,http://schema.org/Organization,2018-02-13T15:44:16+00:00,http://schema.org/CreativeWork,FALSE,-1,-1,-1,http://schema.org/Rating,https://www.snopes.com/obama-official-portrait-sperm-cells/
8,Snopes,http://schema.org/Organization,Vice President Mike Pence said that White House aide Rob Porter's purported domestic abuse was supported by the Bible.,2018-02-13T09:17:44+00:00,2018-02-13T10:58:22+00:00,,Did Mike Pence Defend Rob Porter’s Domestic Abuse with a Bible Verse?,452,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/pence_rob_porter_quote_facebook.jpg?resize=865,452",865,http://schema.org/ImageObject,Fox News the FB Page,https://www.tdtalliance.com/pence-softens-stance-porter-abuse-allegations/,http://schema.org/Organization,2018-02-13T10:58:22+00:00,http://schema.org/CreativeWork,FALSE,-1,-1,-1,http://schema.org/Rating,https://www.snopes.com/mike-pence-porter-bible/
9,Snopes,http://schema.org/Organization,An image shows Nancy Pelosi's mansion in San Francisco and the large wall that protects the estate.,2018-02-12T15:34:37+00:00,2018-02-12T18:24:26+00:00,,Is This a Wall Around Nancy Pelosi’s Home?,452,"https://us-east-1.tchyn.io/snopes-production/uploads/2018/02/nancy_pelosi_house_wall_meme.jpg?resize=865,452",865,http://schema.org/ImageObject,Internet,,http://schema.org/Organization,2018-02-12T18:24:26+00:00,http://schema.org/CreativeWork,FALSE,-1,-1,-1,http://schema.org/Rating,https://www.snopes.com/is-this-a-wall-around-nancy-pelosis-home/
