category,Original Text,Confidence,Context,Context,Argument 1,Argument 1,Relation,Relation,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Claim Id
type(Argument 2),,,,,,,,,SimpleArgument #1,SimpleArgument #1,SimpleArgument #2,SimpleArgument #2,SimpleArgument #3,SimpleArgument #3,SimpleArgument #4,SimpleArgument #4,TemporalArgument #1,TemporalArgument #1,TemporalArgument #2,TemporalArgument #2,TemporalArgument #3,TemporalArgument #3,SpatialArgument #1,SpatialArgument #1,SpatialArgument #2,SpatialArgument #2,
datatype,,,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,
9,"""“Just last year, Judge Kavanaugh praised the dissent in Roe v. Wade.""""",0.9644677377549716,,,Judge Kavanaugh,"(20, 35)",praised,"(36, 43)",the dissent,"(44, 55)",,,,,,,Just last year,"(4, 18)",,,,,in Roe v. Wade,"(56, 70)",,,5
10,"""Claimed that former President Obama once said, “President Trump would need a magic wand to get to 4% GDP.”""",0.9212499880074402,former President Obama said,"(16, 48)",President Trump,"(51, 66)",would need,"(67, 77)",a magic wand,"(78, 90)",to get to 4% GDP,"(91, 107)",,,,,,,,,,,,,,,7
11,"""Claimed that former President Obama once said, “President Trump would need a magic wand to get to 4% GDP.”""",0.9511145300379376,,,former President Obama,"(16, 38)",said,"(44, 48)",President Trump would need a magic wand,"(51, 90)",,,,,,,once,"(39, 43)",,,,,,,,,7
12,"""""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""""",0.9332766750474462,Even the CBO numbers show,"(10, 35)",the entire $ 1.5 trillion tax cut,"(45, 78)",is virtually paid,"(79, 96)",for,"(97, 100)",by better nominal GDP,"(101, 122)",,,,,,,,,,,,,,,9
13,"""""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""""",0.9332766750474462,Even the CBO numbers show,"(10, 35)",the entire $ 1.5 trillion tax cut,"(45, 78)",is virtually paid,"(79, 96)",for,"(97, 100)",by better nominal GDP,"(101, 122)",,,,,,,,,,,,,,,7319
14,"""""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""""",0.9168750550943494,,,Even the CBO numbers,"(10, 30)",show,"(31, 35)",that the entire $ 1.5 trillion tax cut is virtually paid for by better nominal GDP,"(40, 122)",,,,,,,now,"(36, 39)",,,,,,,,,9
15,"""""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""""",0.9168750550943494,,,Even the CBO numbers,"(10, 30)",show,"(31, 35)",that the entire $ 1.5 trillion tax cut is virtually paid for by better nominal GDP,"(40, 122)",,,,,,,now,"(36, 39)",,,,,,,,,7319
16,"""""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""""",0.9207857125190114,Even the CBO numbers show,"(10, 35)",the entire $ 1.5 trillion tax cut,"(45, 78)",is virtually paid,"(79, 96)",for,"(97, 100)",by higher revenues,"(101, 119)",,,,,,,,,,,,,,,9
17,"""""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""""",0.9207857125190114,Even the CBO numbers show,"(10, 35)",the entire $ 1.5 trillion tax cut,"(45, 78)",is virtually paid,"(79, 96)",for,"(97, 100)",by higher revenues,"(101, 119)",,,,,,,,,,,,,,,7319
18,"""""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""""",0.9016372342774742,,,Even the CBO numbers,"(10, 30)",show,"(31, 35)",that the entire $ 1.5 trillion tax cut is virtually paid for by higher revenues,"(40, 119)",,,,,,,now,"(36, 39)",,,,,,,,,9
19,"""""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""""",0.9016372342774742,,,Even the CBO numbers,"(10, 30)",show,"(31, 35)",that the entire $ 1.5 trillion tax cut is virtually paid for by higher revenues,"(40, 119)",,,,,,,now,"(36, 39)",,,,,,,,,7319
32,"""""Kelli Ward called for restraint in fighting terrorism.”""",0.9266232318014764,,,Kelli Ward,"(5, 15)",called,"(16, 22)",for restraint,"(23, 36)",,,,,,,,,,,,,in fighting terrorism,"(37, 58)",,,19
33,"""""BARACK OBAMA SEPARATED 72,410 CHILDREN FROM THEIR FAMILIES IN 2013 ALONE""""",0.9990000128746032,,,BARACK OBAMA,"(0, 0)",SEPARATED,"(0, 0)",2013 alone,,,,,,,,,,,,,,,,,,20
